,label,CNN-CV-0,CNN-CV-1,CNN-TF-0,CNN-TF-1,CNN-W2V-0,CNN-W2V-1,CNN-GLOVE-0,CNN-GLOVE-1,CNN-FAST-0,CNN-FAST-1
0,0,0.4956719,0.49973252,0.53492904,0.46987918,0.88910675,0.16421834,0.5512616,0.45749307,0.6565746,0.32400626
1,0,0.45506668,0.54139334,0.5207896,0.48489112,0.7219906,0.3569001,0.5098273,0.47353816,0.5152124,0.4542865
2,0,0.41978145,0.57680225,0.4950004,0.5122766,0.6877903,0.38317096,0.5372479,0.5279906,0.43077397,0.5480078
3,0,0.44959047,0.54677963,0.53735787,0.46730834,0.6663963,0.36920848,0.48997226,0.53463346,0.50729024,0.4896239
4,0,0.44320214,0.5533498,0.4457723,0.5640725,0.6970447,0.33026493,0.58959496,0.41615286,0.59610796,0.4127638
5,1,0.41218793,0.58469653,0.5408124,0.46422625,0.21740356,0.8102936,0.51391643,0.44349915,0.45993406,0.53749895
6,1,0.40935796,0.5873848,0.4623667,0.54690903,0.33771792,0.6717744,0.5128786,0.44520462,0.41583568,0.55968213
7,0,0.5707208,0.42390412,0.7053993,0.2919438,0.84112287,0.22101194,0.53449166,0.48651424,0.47727734,0.46280617
8,0,0.4562186,0.5400516,0.5499302,0.45458338,0.6930633,0.35863173,0.5521059,0.48702845,0.506764,0.48431566
9,0,0.5166505,0.4788773,0.5822142,0.42068672,0.61748016,0.4815916,0.5581521,0.5036907,0.5559162,0.4231272
10,0,0.4168789,0.579817,0.47642392,0.5319049,0.67953277,0.41210285,0.5007582,0.49644798,0.44937703,0.54325026
11,0,0.53109115,0.4642936,0.66769236,0.33079296,0.5790717,0.44711518,0.5969388,0.40037134,0.47232136,0.5287624
12,0,0.5081571,0.48774025,0.6659057,0.33229417,0.5936326,0.47848403,0.500638,0.506343,0.62701213,0.37486395
13,0,0.504522,0.49111181,0.56964713,0.43378624,0.5994611,0.46336487,0.6119425,0.44913054,0.4844174,0.49078503
14,1,0.45191193,0.54467237,0.46539748,0.5430618,0.3999461,0.6167853,0.5223098,0.49846977,0.44056708,0.5531035
15,0,0.507852,0.48796254,0.692948,0.30539703,0.714805,0.36134815,0.57447875,0.45030412,0.55131656,0.43795615
16,1,0.37627628,0.62142825,0.45149353,0.5579136,0.2650651,0.72967386,0.5035392,0.51543736,0.38324118,0.614362
17,1,0.39568955,0.6010921,0.46591428,0.5427877,0.28335613,0.72277284,0.5029073,0.46180153,0.23640558,0.7479227
18,0,0.5140251,0.48147383,0.63365567,0.3668281,0.8411387,0.22787681,0.5737726,0.5121741,0.67930675,0.29949278
19,0,0.50861156,0.48696256,0.572305,0.4305098,0.6849364,0.3574735,0.5371418,0.40856406,0.53673625,0.44697502
20,0,0.4225852,0.5740858,0.46725294,0.54129094,0.52336603,0.55083364,0.48895416,0.47637,0.5132752,0.4320478
21,0,0.5145457,0.4811108,0.6358062,0.36414573,0.7157482,0.35612237,0.5771413,0.38082433,0.7197046,0.25376448
22,0,0.5393114,0.4558173,0.5290159,0.47633672,0.53311795,0.50225574,0.54944324,0.45012647,0.50801766,0.47509885
23,0,0.40761632,0.58905244,0.47296122,0.5353545,0.6174513,0.4296345,0.5514431,0.47798604,0.60155916,0.3540703
24,1,0.39217395,0.60485744,0.44318834,0.56672525,0.3686027,0.6399329,0.45324996,0.52778214,0.3509326,0.62213707
25,0,0.38312015,0.6142465,0.573878,0.42894053,0.48526838,0.55866295,0.49862573,0.52851653,0.3566433,0.64496577
26,0,0.38782042,0.6094724,0.48485094,0.52290636,0.6532448,0.4193756,0.53049034,0.5097154,0.44548082,0.53150403
27,0,0.52980256,0.46524948,0.5997792,0.40184876,0.8661823,0.2071315,0.53781295,0.4500381,0.44799164,0.5464155
28,0,0.47081882,0.5255216,0.53832096,0.46656457,0.6064285,0.3890888,0.52368355,0.5015258,0.62768257,0.37194443
29,0,0.53628296,0.45869428,0.6196914,0.3812523,0.84495234,0.21623623,0.5750218,0.48927233,0.5850443,0.40486372
30,1,0.43362772,0.5627204,0.48750266,0.5198968,0.5045831,0.56377697,0.49750334,0.54809177,0.49446508,0.49338746
31,1,0.4663666,0.53001595,0.57645416,0.4262795,0.37400508,0.676265,0.5659356,0.48501614,0.5769695,0.42095655
32,0,0.47224653,0.5241247,0.5357101,0.46895754,0.5729844,0.45840427,0.5485327,0.5080322,0.446437,0.5287163
33,0,0.5487073,0.44593573,0.6344538,0.36548734,0.762772,0.289812,0.619989,0.44387615,0.5761704,0.38871557
34,0,0.43790153,0.5588541,0.4994092,0.5077127,0.5482106,0.48184302,0.5598887,0.43211877,0.47472203,0.5177109
35,1,0.40944552,0.58753055,0.46836764,0.54037374,0.49253264,0.5277479,0.51708895,0.5143598,0.3134327,0.683964
36,1,0.39899087,0.59808123,0.4440378,0.56593627,0.27818942,0.7259221,0.51106787,0.511754,0.43337435,0.56730956
37,1,0.46294987,0.53347933,0.5750991,0.42813823,0.21982527,0.78923464,0.5846191,0.4640501,0.40339905,0.59717065
38,1,0.40044767,0.59636164,0.48330498,0.52425516,0.32752517,0.7340913,0.534036,0.501646,0.3322795,0.6517253
39,1,0.38719553,0.6103096,0.50165725,0.5053321,0.5021588,0.5781783,0.54474086,0.50684375,0.29539996,0.714262
40,0,0.40130708,0.59557486,0.50156325,0.50522655,0.48781008,0.5539965,0.530183,0.5397536,0.35336345,0.6379508
41,0,0.38929194,0.6078716,0.4698321,0.5384593,0.44959393,0.5626459,0.5133301,0.45918277,0.42586383,0.5638786
42,1,0.4019193,0.59497285,0.45398247,0.5553167,0.36132646,0.63328403,0.56783617,0.48118538,0.33574513,0.64439195
43,1,0.44972277,0.54681903,0.46758926,0.5409166,0.3557105,0.7004554,0.5483589,0.5305396,0.3410327,0.65015984
44,0,0.4036404,0.59325594,0.55276453,0.4508484,0.5924475,0.44912422,0.51055706,0.50040627,0.45677117,0.5442809
